,PC1,PC2,PC3,cell_type
100.17.034,1.241186012702262,3.773972885618512,0.638005833628257,
100.17.036,-1.9872375884910183,4.716876244976854,-0.010252857646073163,T_CD3
100.17.037,-1.7554463424748237,4.715908672389867,-0.9041274003159603,T_CD3
100.17.044,-2.500257232222016,5.091948388039655,0.36288790304941665,T_CD3
100.17.048,-1.672141832969492,4.502497332163738,-0.7092783506082352,Endothelial
100.17.049,-0.7998969970230827,3.3272609931604538,2.0840579920009117,B
100.17.051,-1.984392040914273,3.9283070303499352,0.342639621265726,T_CD3
100.17.059,-2.1863532472687837,5.907301878411562,0.21330101833918344,T_CD3
100.17.062,-0.8473856054408353,2.8569823129834826,0.35689458760078774,Fibroblast
100.17.073,-1.3695326470835978,3.5611250638348295,1.169366184060266,B
100.17.074,-0.8359520319341831,0.9103152754478051,1.366819110633894,B
100.17.075,-1.5235050132218007,4.632990833128667,-0.6284668417912882,Endothelial
100.18.003,-2.3386634792829346,4.047751000294859,-0.2662388345299367,Smooth muscle
100.18.004,-1.5150638038223905,3.812410918772907,-0.6217159660855894,T_CD3
100.18.006,-0.8401462612403648,3.395363506433423,-0.2186791945590035,Epithelial
100.18.008,-1.07364715461875,3.3709289466362518,0.19451305691575932,Smooth muscle
100.18.009,-1.9473364631289032,2.676808178083991,-1.168169814544902,Endothelial
100.18.015,-3.3365352471761316,6.571877490712186,0.7617132203097641,Epithelial
100.18.02,-2.0346694013800057,5.1735005459739725,-0.8036255716442815,Smooth muscle
100.18.03,-1.5170107744522299,3.8195641114610597,-0.25222315418016356,T_CD3
100.18.037,-1.994068408749194,5.256972157520784,-0.6046460098368911,T_CD3
100.18.042,-1.474748261327599,2.2870525131940758,0.7457573515695919,Fibroblast
100.18.045,-0.86660509217857,3.564334774527386,0.7708133884582361,Fibroblast
100.18.047,-1.4221859555271577,3.558282739015609,-1.1882066875759563,Smooth muscle
100.18.054,-1.5024441012478653,3.3753822629690307,-0.7927692521780061,T_CD3
100.18.055,-1.2404379051577368,4.388329939112349,1.4053908693659984,B
100.18.061,-1.048312621032037,4.129307273510112,-0.3005028879645801,T_CD3
100.18.062,-1.179005009966574,3.8939241910132796,0.6949212063483802,
100.18.074,-1.022662242257832,4.092151175102811,1.272124917494298,
100.18.075,-1.3197908147518214,3.402007692764793,0.5784027573585429,Smooth muscle
100.19.003,-1.507239274085629,2.9691641030576785,0.005632607764189912,Endothelial
100.19.004,-1.3800351369555899,4.408118668261181,0.24980156348828267,Smooth muscle
